khizarhussain16, 35903, 4, 2016-3-8 23:28:46
Avatar_ID: 3, x :21, y: 23
Avatar_ID: 0, x :30, y: 18
Avatar_ID: 1, x :14, y: 5
Avatar_ID: 2, x :5, y: 5
Avatar_ID: 3, x :21, y: 24
Avatar_ID: 0, x :31, y: 18
Avatar_ID: 1, x :14, y: 5
Avatar_ID: 2, x :5, y: 4
Avatar_ID: 3, x :21, y: 24
Avatar_ID: 0, x :31, y: 17
Avatar_ID: 1, x :14, y: 6
Avatar_ID: 2, x :5, y: 4
Avatar_ID: 3, x :21, y: 25
Avatar_ID: 0, x :30, y: 17
Avatar_ID: 1, x :15, y: 6
Avatar_ID: 2, x :5, y: 4
Avatar_ID: 3, x :22, y: 25
Avatar_ID: 0, x :30, y: 17
Avatar_ID: 1, x :15, y: 6
Avatar_ID: 2, x :6, y: 4
Avatar_ID: 3, x :22, y: 25
Avatar_ID: 0, x :30, y: 17
Avatar_ID: 1, x :16, y: 6
Avatar_ID: 2, x :6, y: 3
Avatar_ID: 3, x :22, y: 25
Avatar_ID: 0, x :30, y: 17
Avatar_ID: 1, x :16, y: 6
Avatar_ID: 2, x :6, y: 3
Avatar_ID: 3, x :22, y: 25
Avatar_ID: 0, x :31, y: 17
Avatar_ID: 1, x :17, y: 6
Avatar_ID: 2, x :6, y: 2
Avatar_ID: 3, x :21, y: 25
Avatar_ID: 0, x :31, y: 17
Avatar_ID: 1, x :17, y: 6
Avatar_ID: 2, x :6, y: 2
Avatar_ID: 3, x :21, y: 26
Avatar_ID: 0, x :32, y: 17
Avatar_ID: 1, x :17, y: 6
Avatar_ID: 2, x :6, y: 1
Avatar_ID: 3, x :22, y: 26
Avatar_ID: 0, x :32, y: 17
Avatar_ID: 1, x :17, y: 6
Avatar_ID: 2, x :6, y: 1
Avatar_ID: 3, x :22, y: 26
Avatar_ID: 0, x :33, y: 17
Avatar_ID: 1, x :16, y: 6
Avatar_ID: 2, x :6, y: 1
Avatar_ID: 3, x :23, y: 26
Avatar_ID: 0, x :33, y: 17
Avatar_ID: 1, x :16, y: 7
Avatar_ID: 2, x :7, y: 1
Avatar_ID: 3, x :23, y: 26
Avatar_ID: 0, x :33, y: 17
Avatar_ID: 1, x :16, y: 7
Avatar_ID: 2, x :7, y: 0
Avatar_ID: 3, x :24, y: 26
Avatar_ID: 0, x :33, y: 17
Avatar_ID: 1, x :16, y: 7
Avatar_ID: 2, x :6, y: 0
